compound_id,method_id,rt_min,rsd_source,retention_factor_source,source_file,source_row
162,M06,12.73,0.0005,8.09,Dataset 06.xlsx,155
162,M07,13.91,0.0071,9.15,Dataset 07.xlsx,155
162,M08,18.31,0.0004,19.12,Dataset 08.xlsx,155
162,M09,17.24,0,17.49,Dataset 09.xlsx,155
162,M10,19.92,0.0002,13.75,Dataset 10.xlsx,155
162,M11,18.99,0.0007,13.33,Dataset 11.xlsx,155
162,M12,26.21,0.0004,26.83,Dataset 12.xlsx,155
162,M13,26.08,0.0006,19.54,Dataset 13.xlsx,155
162,M14,22.57,0.0015,29.09,Dataset 14.xlsx,155
162,M15,26.51,0,15.57,Dataset 15.xlsx,155
162,M16,54.3,0.0002,42.44,Dataset 16.xlsx,155
162,M17,7.13,0.0022,6.74,Dataset 17.xlsx,155
162,M18,9.97,0.0029,5.92,Dataset 18.xlsx,155
162,M19,7.21,0.0008,4.28,Dataset 19.xlsx,155
162,M20,9.66,0,14.46,Dataset 20.xlsx,154
162,M21,6.9,0.001,3.89,Dataset 21.xlsx,154
162,M22,15.93,0.002,12.17,Dataset 22.xlsx,154
162,M23,13.56,0.0005,17.07,Dataset 23.xlsx,154
162,M24,16.19,0,9.38,Dataset 24.xlsx,154
162,M25,14.26,0.0039,9.97,Dataset 25.xlsx,163
162,M26,12.91,0.0022,15.55,Dataset 26.xlsx,163
162,M27,16.69,0.0003,11.94,Dataset 27.xlsx,163
162,M28,14.58,0.0006,17.69,Dataset 28.xlsx,163
162,M29,16.51,0.0013,8.88,Dataset 29.xlsx,163
162,M30,10.14,0.0024,6.51,Dataset 30.xlsx,163
163,M01,7.34,0.0019,4.78,Dataset 01.xlsx,156
163,M02,9.79,0.0006,9.69,Dataset 02.xlsx,156
163,M03,10.25,0.0004,6.55,Dataset 03.xlsx,156
163,M04,9.4,0.0009,5.8,Dataset 04.xlsx,156
163,M05,9.31,0.0008,6.1,Dataset 05.xlsx,156
163,M06,12.81,0.0006,8.15,Dataset 06.xlsx,156
163,M07,14.04,0.007,9.24,Dataset 07.xlsx,156
163,M08,18.44,0.0004,19.26,Dataset 08.xlsx,156
163,M09,17.24,0.0005,17.49,Dataset 09.xlsx,156
163,M10,20.06,0.0002,13.86,Dataset 10.xlsx,156
163,M11,19.12,0.0004,13.43,Dataset 11.xlsx,156
